Species Name ,Original  Identifiers,Annotated  Identifiers
Ab_R,"P08887, FMA:62871","Gene ID: 3570, SNOMEDCT:112133008"
Ab_sR_IL6{gut},"P08887, P05231, FMA:62871, PATO:0001537","Gene ID: 3570, Gene ID: 3569, BTO:0000545, SNOMEDCT:112133008"
Ab_sR_IL6{liver},"P08887, P05231, FMA:62871, PATO:0001537","Gene ID: 3570, Gene ID: 3569, BTO:0000759, SNOMEDCT:112133008"
Ab_sR_IL6{serum},"P08887, P05231, FMA:62871, PATO:0001537","Gene ID: 3570, Gene ID: 3569, BTO:0001239, SNOMEDCT:112133008"
Ab_sR{gut},"P08887, FMA:62871,  PATO:0001537","Gene ID: 3570, BTO:0000545, SNOMEDCT:112133008"
Ab_sR{liver},"P08887, FMA:62871, PATO:0001537","Gene ID: 3570, BTO:0000759, SNOMEDCT:112133008"
Ab_sR{serum},"P08887, FMA:62871, PATO:0001537","Gene ID: 3570, BTO:0001239, SNOMEDCT:112133008"
Ab{gut},FMA:62871,"BTO:0000545, SNOMEDCT:112133008"
Ab{liver},FMA:62871,"BTO:0000759, SNOMEDCT:112133008"
Ab{peripheral},FMA:62871,"PATO:0002107, SNOMEDCT:112133008"
Ab{serum},"FMA:62871, CHEBI:52217","BTO:0001239, SNOMEDCT:112133008"
CRP (% of baseline),P02741,Gene ID: 1401
CRP Suppression (%),P02741,"Gene ID: 1401, SNOMEDCT:8063300"
CRPExtracellular,P02741,"Gene ID: 1401, SNOMEDCT:69320009"
CRP{liver},P02741,"Gene ID: 1401, BTO:0000759"
CRP{serum},P02741,"Gene ID: 1401, BTO:0001239"
geneProduct,CCO:U0000003,FMA:293363
gp130{gut},PR:000001868,"Gene ID: 3572, BTO:0000545"
gp130{liver},PR:000001868,"Gene ID: 3572, BTO:0000759"
IL6{gut},P05231,"Gene ID: 3569, BTO:0000545"
IL6{liver},P05231,"Gene ID: 3569, BTO:0000759"
IL6{serum},P05231,"Gene ID: 3569, BTO:0001239"
pSTAT3{gut},"PR:000002089, SBO:0000216","Gene ID: 6774, BTO:0000545, PATO:0002262"
pSTAT3{liver},"PR:000002089, SBO:0000216","Gene ID: 6774, BTO:0000759, PATO:0002262"
R,P08887,Gene ID: 3570
R_IL6,"P08887, P05231","Gene ID: 3570, Gene ID: 3569"
R_IL6_gp130{gut},"P08887, P05231, PR:000001868","Gene ID: 3570, Gene ID: 3569, Gene ID: 3572, BTO:0000545"
R_IL6_gp130{liver},"P08887, P05231, PR:000001868","Gene ID: 3570, Gene ID: 3569, Gene ID: 3572, BTO:0000759"
Reactive{gut},"P08887, P05231, PR:000001868, SBO:0000286, PATO:0002354","Gene ID: 3570, Gene ID: 3569, Gene ID: 3572, BTO:0000545"
Reactive{liver},"P08887, P05231, PR:000001868, SBO:0000286, PATO:0002354","Gene ID: 3570, Gene ID: 3569, Gene ID: 3572, BTO:0000759"
sgp130{gut},"PR:000001868, PATO:0001537"," Gene ID: 3572, BTO:0000545"
sgp130{liver},"PR:000001868, PATO:0001537"," Gene ID: 3572, BTO:0000759"
sgp130{serum},"PR:000001868, PATO:0001537"," Gene ID: 3572, BTO:0001239"
sR_IL6_sgp130{gut},"P08887, P05231, PR:000001868, PATO:0001537","Gene ID: 3570, Gene ID: 3569, Gene ID: 3572, BTO:0000545"
sR_IL6_sgp130{liver},"P08887, P05231, PR:000001868, PATO:0001537","Gene ID: 3570, Gene ID: 3569, Gene ID: 3572, BTO:0000759"
sR_IL6_sgp130{serum},"P08887, P05231, PR:000001868, PATO:0001537","Gene ID: 3570, Gene ID: 3569, Gene ID: 3572, BTO:0001239"
sR_IL6{gut},"P08887, P05231, PATO:0001537","Gene ID: 3570, Gene ID: 3569, BTO:0000545"
sR_IL6{liver},"P08887, P05231, PATO:0001537","Gene ID: 3570, Gene ID: 3569, BTO:0000759"
sR_IL6{serum},"P08887, P05231, PATO:0001537","Gene ID: 3570, Gene ID: 3569, BTO:0001239"
sR{gut},"P08887, PATO:0001537","Gene ID: 3570, BTO:0000545"
sR{liver},"P08887, PATO:0001537","Gene ID: 3570, BTO:0000759"
sR{serum},"P08887, PATO:0001537","Gene ID: 3570, BTO:0001239"
STAT3{gut},PR:000002089,"Gene ID: 6774, BTO:0000545"
STAT3{liver},PR:000002089,"Gene ID: 6774, BTO:0000759"
